frame_no,timestamp_sec,lon,lat
1,0.0,76.250519491,26.361110145
2,0.2,76.25051,26.361064721
3,0.4,76.250504249,26.361021
4,0.6,76.250497154,26.360976503
5,0.8,76.250490091,26.360931
6,1.0,76.250482936,26.360886496
7,1.2,76.250476249,26.36084201
8,1.4,76.250469644,26.360797546
9,1.6,76.250462615,26.36075305
10,1.8,76.250455432,26.360709405
11,2.0,76.250447747,26.360664076
12,2.2,76.250440274,26.360620446
13,2.4,76.250432317,26.360575538
14,2.6,76.250423948,26.360531
15,2.8,76.25041533,26.360486909
16,3.0,76.250406554,26.360441
17,3.2,76.250397909,26.360397635
18,3.4,76.250389672,
19,3.6,76.250381,26.36030891
20,3.8,76.25037284,26.360265656
21,4.0,76.250364188,26.36022001
22,4.2,76.250355786,
23,4.4,76.250347143,26.360131058
24,4.6,76.2503391,26.360088356
25,4.8,76.250330525,26.360042051
26,5.0,76.250322464,26.359998682
27,5.2,76.250314273,
28,5.4,76.250306132,26.359909688
29,5.6,76.250297922,
30,5.8,76.250290128,
31,6.0,76.250282125,
32,6.2,76.250274471,26.359731
33,6.4,76.250266561,
34,6.6,76.250258453,26.359641
35,6.8,76.250250176,26.359597279
36,7.0,76.250241843,26.359553796
37,7.2,76.250233634,26.359510159
38,7.4,76.250225075,26.359463868
39,7.6,76.250217069,26.359420293
40,7.8,76.250208923,26.359375785
41,8.0,76.250200624,26.359331
42,8.2,76.25019234,
43,8.4,76.250183561,
44,8.6,76.250174563,26.359196966
45,8.8,76.250166314,
46,9.0,76.250158413,
47,9.2,76.250151199,26.359065358
48,9.4,76.25014395,26.359019923
49,9.6,76.250136746,26.358974355
50,9.8,76.250130055,26.358931
51,10.0,76.250123,
52,10.2,76.2501,26.358841
53,10.4,76.250108867,
54,10.6,76.250100223,26.358751
55,10.8,76.25009142,26.358706742
56,11.0,76.25008273,26.35866241
57,11.2,76.250074418,26.358619872
58,11.4,76.250065746,26.358574627
59,11.6,76.250056947,26.3585293
60,11.8,76.250048612,26.358486841
61,12.0,76.250039207,26.358440695
62,12.2,76.250030309,26.35839738
63,12.4,76.250021243,
64,12.6,76.250012397,26.358309726
65,12.8,76.250003359,26.358265492
66,13.0,76.249994137,26.358220342
67,13.2,76.249985325,
68,13.4,76.249976994,
69,13.6,76.249969652,
70,13.8,76.249962095,26.358041
71,14.0,76.249954714,26.357998366
72,14.2,76.249947201,26.357953921
73,14.4,76.249939942,26.357910197
74,14.6,76.249932565,26.35786571
75,14.8,76.249925082,26.357821
76,15.0,76.249917207,
77,15.2,76.249909086,26.357730496
78,15.4,76.249900826,26.35768525
79,15.6,76.249893059,26.357642632
80,15.8,76.249884844,26.357597257
81,16.0,76.249877029,26.357553808
82,16.2,76.249868735,26.357507552
83,16.4,76.24986091,26.357463942
84,16.6,76.249853065,26.357420463
85,16.8,76.249844937,26.357376083
86,17.0,76.249836623,26.357331
87,17.2,76.249828123,26.357287399
88,17.4,76.249819651,26.357243037
89,17.6,76.24981,
90,17.8,76.249802652,26.357153297
91,18.0,76.249794259,
92,18.2,76.249786284,
93,18.4,76.249777788,26.357020941
94,18.6,76.249769302,26.356975526
95,18.8,76.249760842,
96,19.0,76.249752796,26.356887538
97,19.2,76.249744086,
98,19.4,76.249735334,26.35679701
99,19.6,76.2497271,
100,19.8,76.249718652,26.356708941
101,20.0,76.249710789,26.35666545
102,20.2,76.249702709,26.356619942
103,20.4,76.249694753,26.356574546
104,20.6,76.249687317,26.356531821
105,20.8,76.249679389,26.356486235
106,21.0,76.249671538,26.356441
107,21.2,76.249663828,26.356398957
108,21.4,76.249655436,26.35635361
109,21.6,76.24964689,26.356308281
110,21.8,76.249638441,26.356263009
111,22.0,76.249630589,26.35622029
112,22.2,76.249622367,
113,22.4,76.249614767,
114,22.6,76.249606671,26.356086029
115,22.8,76.249598991,26.356042525
116,23.0,76.249590831,26.35599641
117,23.2,76.24958325,
118,23.4,76.249575908,26.355909288
119,23.6,76.249568347,
120,23.8,76.249560755,26.355821
121,24.0,76.249552366,26.355773889
122,24.2,76.249544497,26.355730023
123,24.4,76.24953657,26.355686398
124,24.6,76.249528514,
125,24.8,76.249519801,26.355596256
126,25.0,76.24951,26.355552751
127,25.2,76.249502877,26.35550641
128,25.4,76.249495035,
129,25.6,76.249486799,26.355418137
130,25.8,76.249479204,26.355375431
131,26.0,76.249471,26.355329837
132,26.2,76.249462976,26.355283535
133,26.4,76.249455549,26.355240782
134,26.6,76.249447612,
135,26.8,76.249440257,
136,27.0,76.249432246,
137,27.2,76.249424746,26.355063556
138,27.4,76.249416372,26.355017391
139,27.6,76.24940841,26.354973963
140,27.8,76.249399916,26.35492767
141,28.0,76.249391905,
142,28.2,76.249383932,26.354840576
143,28.4,76.249375787,
144,28.6,76.249367808,26.35475257
145,28.8,76.249359569,26.354708057
146,29.0,76.249351368,26.354663646
147,29.2,76.249343232,26.354619227
148,29.4,76.249335094,26.354574749
149,29.6,76.249326758,
150,29.8,76.24931852,26.35448487
151,30.0,76.249310148,26.354439506
152,30.2,76.249301979,26.354394979
153,30.4,76.249293553,
154,30.6,76.249285695,26.354307875
155,30.8,76.249277169,26.354262622
156,31.0,76.249268587,26.354217214
157,31.2,76.249260093,26.354171918
158,31.4,76.249252171,26.354129281
159,31.6,76.249243795,26.354083861
160,31.8,76.249235449,26.354038539
161,32.0,76.249227677,26.35399591
162,32.2,76.249219482,26.353950488
163,32.4,76.24921,26.353907795
164,32.6,76.249203656,26.353861
165,32.8,76.249195601,26.353816103
166,33.0,76.249188015,26.353773346
167,33.2,76.249179765,26.35372699
168,33.4,76.249172172,26.353684339
169,33.6,76.249163749,26.353637999
170,33.8,76.24915592,
171,34.0,76.249147452,26.353548858
172,34.2,76.249139589,
173,34.4,76.249130977,26.353459861
174,34.6,76.24912297,26.35341
175,34.8,76.2491,26.353370852
176,35.0,76.249106446,
177,35.2,76.249098395,26.353281
178,35.4,76.24909079,26.353238075
179,35.6,76.249083355,
180,35.8,76.249075296,
181,36.0,76.249067824,
182,36.2,76.249059632,26.353059807
183,36.4,76.24905146,26.353014346
184,36.6,76.249043487,26.35297063
185,36.8,76.249035133,26.35292521
186,37.0,76.249027182,
187,37.2,76.249018584,26.352836821
188,37.4,76.249010484,26.352794098
189,37.6,76.249001933,26.35274871
190,37.8,76.248993485,26.35270301
191,38.0,76.248985449,26.35265844
192,38.2,76.248977406,26.352612991
193,38.4,76.24896949,26.352568375
194,38.6,76.248961426,26.35252381
195,38.8,76.248953213,26.352479209
196,39.0,76.248945022,
197,39.2,76.24893684,26.352390047
198,39.4,76.248928686,26.352345445
199,39.6,76.248920506,26.352300788
200,39.8,76.24891236,
201,40.0,76.248904283,26.352212397
202,40.2,76.248896175,
203,40.4,76.248887987,
204,40.6,76.248879286,26.352078505
205,40.8,76.248871,26.352034876
206,41.0,76.248862577,26.351989301
207,41.2,76.248854591,26.351
208,41.4,76.248846143,26.351901
209,41.6,76.248837649,26.351
210,41.8,76.248829269,26.351
211,42.0,76.248820757,26.351
212,42.2,76.248812838,26.351
213,42.4,76.248804306,26.351
214,42.6,76.248796059,26.351
215,42.8,76.248787818,26.351
216,43.0,76.248779896,26.351
217,43.2,76.248772398,26.351
218,43.4,76.248764432,26.351
219,43.6,76.248756674,26.351
220,43.8,76.248748592,26.351
221,44.0,76.248740478,26.351
222,44.2,76.248732784,26.351
223,44.4,76.24872449,26.351
224,44.6,76.248716178,26.351
225,44.8,76.248708485,26.351
226,45.0,76.248700152,26.351
227,45.2,76.248691803,26.351053721
228,45.4,76.248683992,26.351
229,45.6,76.248675745,26.350965662
230,45.8,76.248667606,26.350920073
231,46.0,76.248659967,26.350877335
232,46.2,76.248651798,26.350831
233,46.4,76.248643505,26.35078571
234,46.6,76.248635865,26.350742967
235,46.8,76.248627803,26.35069744
236,47.0,76.248620189,26.350654732
237,47.2,76.24861194,26.35060941
238,47.4,76.248603412,
239,47.6,76.248595456,26.350520476
240,47.8,76.248587064,26.350474995
241,48.0,76.248579373,26.350432331
242,48.2,76.248571,26.350386007
243,48.4,76.248563762,26.350343283
244,48.6,76.248555853,26.350297896
245,48.8,76.248547706,26.350251
246,49.0,76.248540343,26.350209428
247,49.2,76.248532396,
248,49.4,76.248524307,
249,49.6,76.248516256,26.350074582
250,49.8,76.248507745,26.350029898
251,50.0,76.248499286,
252,50.2,76.248490355,26.34993988
253,50.4,76.248482009,26.349896355
254,50.6,76.248473748,26.349852666
255,50.8,76.248465071,26.349806299
256,51.0,76.248457233,
257,51.2,76.248448916,26.349718197
258,51.4,76.248440597,26.349672646
259,51.6,76.2484328,26.34962991
260,51.8,76.248424436,26.349584529
261,52.0,76.248416064,26.349539976
262,52.2,76.248407547,26.349494483
263,52.4,76.248399357,26.349449988
264,52.6,76.248391321,26.349405448
265,52.8,76.248383322,26.349360943
266,53.0,76.248375439,26.349316377
267,53.2,76.248367733,
268,53.4,76.248360343,26.349228269
269,53.6,76.248352987,
270,53.8,76.248345974,
271,54.0,76.24833918,26.34909501
272,54.2,76.248331486,26.349047683
273,54.4,76.248323874,26.349003861
274,54.6,76.248316057,
275,54.8,76.24830795,26.348916378
276,55.0,76.248299205,26.348869983
277,55.2,76.248290985,26.3488272
278,55.4,76.2482821,26.348780973
279,55.6,76.2482739,26.348738268
280,55.8,76.248265207,26.348692995
281,56.0,76.248256658,
282,56.2,76.248248812,26.348604923
283,56.4,76.248240491,26.348559559
284,56.6,76.248232182,26.348513948
285,56.8,76.248224143,26.348469438
286,57.0,76.248216526,
287,57.2,76.248208535,26.348381
288,57.4,76.248200532,26.3483359
289,57.6,76.248192426,26.348290328
290,57.8,76.248184648,26.348247683
291,58.0,76.248176108,
292,58.2,76.248167919,
293,58.4,76.24815917,
294,58.6,76.248150275,
295,58.8,76.248141992,26.34802551
296,59.0,76.24813354,26.347982008
297,59.2,76.248124654,26.347935778
298,59.4,76.2481,26.347892326
299,59.6,76.248107741,
300,59.8,76.248099628,26.347802503
301,60.0,76.248091579,26.34775901
302,60.2,76.248083562,26.347715389
303,60.4,76.248075491,26.347670992
304,60.6,76.248067169,26.347624607
305,60.8,76.248059226,
306,61.0,76.248051,26.34753561
307,61.2,76.248043058,26.347491
308,61.4,76.248034896,26.3474466
309,61.6,76.248026548,26.347401
310,61.8,76.248018403,26.347356656
311,62.0,76.248010814,26.34731481
312,62.2,76.248002583,26.347269432
313,62.4,76.247994539,26.347224858
314,62.6,76.247986413,
315,62.8,76.247978677,
316,63.0,76.247970409,26.347091
317,63.2,76.247962163,
318,63.4,76.247954476,26.347003341
319,63.6,76.247946187,26.346956989
320,63.8,76.247938121,26.34691
321,64.0,76.247930625,26.346868883
322,64.2,76.247922773,26.346823379
323,64.4,76.247915046,26.346779741
324,64.6,76.247906776,26.346734231
325,64.8,76.247898782,26.346690679
326,65.0,76.247890365,26.346645229
327,65.2,76.247882214,26.346601
328,65.4,76.247873755,
329,65.6,76.24786567,26.346512613
330,65.8,76.24785761,26.346468932
331,66.0,76.247849126,26.346422648
332,66.2,76.247841,26.346379079
333,66.4,76.247833252,26.346335471
334,66.6,76.247824681,26.346288278
335,66.8,76.247816729,26.346244626
336,67.0,76.247808815,26.346201
337,67.2,76.24780075,
338,67.4,76.24779264,
339,67.6,76.247784581,26.34606851
340,67.8,76.247776322,26.346024058
341,68.0,76.247768,26.345979586
342,68.2,76.247759584,26.345935101
343,68.4,76.247750907,26.345889826
344,68.6,76.247742344,26.345845393
345,68.8,76.247733758,26.345801
346,69.0,76.247725032,26.345755675
347,69.2,76.247716316,26.345710464
348,69.4,76.247708343,26.345667843
349,69.6,76.247700078,26.345622209
350,69.8,76.24769212,26.345576845
351,70.0,76.247684654,26.345534093
352,70.2,76.247676639,26.345488606
353,70.4,76.247669027,26.345445877
354,70.6,76.247660764,26.345399595
355,70.8,76.24765318,26.345356867
356,71.0,76.24764503,26.345310496
357,71.2,76.247637397,
358,71.4,76.247629173,26.345220605
359,71.6,76.247621307,
360,71.8,76.247613533,
361,72.0,76.247604953,26.345086983
362,72.2,76.247597036,26.34504341
363,72.4,76.247589101,26.344999882
364,72.6,76.247580956,26.344955343
365,72.8,76.247572991,26.34491
366,73.0,76.247564301,26.34486456
367,73.2,76.24755607,26.344820055
368,73.4,76.247547899,26.344775581
369,73.6,76.247539675,26.344730996
370,73.8,76.24753153,26.344687335
371,74.0,76.247523109,26.344641
372,74.2,76.247514919,26.344597529
373,74.4,76.247506767,26.344552976
374,74.6,76.247498579,26.34450851
375,74.8,76.24749094,26.344466708
376,75.0,76.247482697,
377,75.2,76.247474326,26.344376731
378,75.4,76.247466052,26.344332239
379,75.6,76.247457652,26.344286757
380,75.8,76.247449272,26.344241
381,76.0,76.247441534,
382,76.2,76.247433228,
383,76.4,76.247424826,
384,76.6,76.247416414,26.344063487
385,76.8,76.247408699,26.344021
386,77.0,76.247400229,26.343975322
387,77.2,76.247392079,26.34392996
388,77.4,76.24738455,26.343887877
389,77.6,76.247376283,26.343841
390,77.8,76.2473682,26.343795999
391,78.0,76.247360762,
392,78.2,76.247352656,26.343708625
393,78.4,76.247344517,26.343663059
394,78.6,76.247336334,26.34361771
395,78.8,76.247328741,26.34357581
