frame_no,timestamp_sec,lon,lat
1,0.0,76.248692697,25.969712932
2,0.2,76.248707791,25.969755801
3,0.4,76.24872271,
4,0.6,76.248737653,
5,0.8,76.248752921,
6,1.0,76.248768231,
7,1.2,76.24878334,25.969970202
8,1.4,76.248798179,25.970013055
9,1.6,76.248812407,25.970055588
10,1.8,76.248826774,25.970099907
11,2.0,76.248840853,
12,2.2,76.248854945,25.970185252
13,2.4,76.248869324,
14,2.6,76.248883612,
15,2.8,76.24889786,25.970314402
16,3.0,76.248913325,25.970358265
17,3.2,76.248928734,25.970400258
18,3.4,76.248944535,
19,3.6,76.248960671,25.970486331
20,3.8,76.248976137,25.970529079
21,4.0,76.24899183,25.970572988
22,4.2,76.249007032,25.970615834
23,4.4,76.249021764,
24,4.6,76.249036351,25.970700066
25,4.8,76.249051643,
26,5.0,76.249066788,25.970786846
27,5.2,76.249082255,25.970829782
28,5.4,76.249097713,25.970872592
29,5.6,76.2491,25.970916207
30,5.8,76.249129026,25.970957906
31,6.0,76.249144285,25.971
32,6.2,76.249159555,25.971042791
33,6.4,76.249175207,25.971
34,6.6,76.249190242,25.971
35,6.8,76.249205995,25.971
36,7.0,76.249221268,25.971215727
37,7.2,76.249236547,25.971258679
38,7.4,76.249251772,25.971301
39,7.6,76.249267233,25.971
40,7.8,76.249282579,25.971387581
41,8.0,76.249298094,
42,8.2,76.249313336,25.971472592
43,8.4,76.249328692,25.971
44,8.6,76.249344323,25.971
45,8.8,76.249359737,25.971
46,9.0,76.249375526,25.971
47,9.2,76.249391039,25.971
48,9.4,76.249406242,25.971
49,9.6,76.249422107,25.971
50,9.8,76.249437768,25.971
51,10.0,76.249453032,25.971
52,10.2,76.249468678,25.971901
53,10.4,76.249484442,25.971
54,10.6,76.2495,25.971987583
55,10.8,76.249516176,25.972030396
56,11.0,76.249532085,25.972073938
57,11.2,76.249547528,
58,11.4,76.249563545,
59,11.6,76.249578883,25.972201
60,11.8,76.2495941,
61,12.0,76.24961039,25.972288431
62,12.2,76.249625716,25.972330396
